15.05.2025,12.00,London
15.05.2025,20.00,Glasgow
16.05.2025,18.00,Porto
17.05.2025,16.00,Barcelona
18.05.2025,14.00,Madrid
19.05.2025,12.00,Paris
19.05.2025,20.00,Brussels
20.05.2025,18.00,Amsterdam
21.05.2025,16.00,Berlin
22.05.2025,14.00,Tromso
23.05.2025,12.00,Copenhagen
23.05.2025,20.00,Stockholm
24.05.2025,18.00,Warsaw
25.05.2025,16.00,Dubrovnik
26.05.2025,14.00,Belgrade
27.05.2025,12.00,Sarajevo
27.05.2025,20.00,Milano
28.05.2025,18.00,Rome
29.05.2025,16.00,Budapest
30.05.2025,14.00,Tallinn
31.05.2025,12.00,Helsinki
31.05.2025,20.00,Vilnius
1.06.2025,18.00,Kiev
2.06.2025,16.00,Sofia
3.06.2025,14.00,Bucharest
4.06.2025,12.00,Johannesburg
4.06.2025,20.00,Antalya
5.06.2025,18.00,Istanbul
6.06.2025,16.00,Izmir
7.06.2025,14.00,Ankara
8.06.2025,12.00,Moscow
8.06.2025,20.00,Baku
9.06.2025,18.00,Jakarta
10.06.2025,16.00,Manila
11.06.2025,14.00,Shanghai
12.06.2025,12.00,Singapore
12.06.2025,20.00,Tokyo
13.06.2025,12.00,Melbourne
13.06.2025,12.00,Seattle
13.06.2025,20.00,Los Angeles
14.06.2025,18.00,Mexico City
15.06.2025,16.00,Chicago
16.06.2025,14.00,Nashville
17.06.2025,12.00,Toronto
17.06.2025,20.00,Montreal
18.06.2025,18.00,New York
19.06.2025,16.00,Buenos Aires
20.06.2025,14.00,Sao Paulo
21.06.2025,12.00,Rio De Janeiro