"05.11.2025,16:00,Ankara"
"06.11.2025,16:00,Tokyo"
"07.11.2025,16:00,Moscow"
"08.11.2025,16:00,Chicago"
"09.11.2025,16:00,Kyiv"
"10.11.2025,16:00,Jakarta"
"11.11.2025,16:00,Vilnius"
"12.11.2025,16:00,Los Angeles"
"14.11.2025,16:00,Helsinki"
"15.11.2025,16:00,Tallinn"
"17.11.2025,16:00,Mexico City"
"18.11.2025,16:00,Baku"
"19.11.2025,16:00,Warsaw"
"20.11.2025,16:00,Tromsø"
"21.11.2025,16:00,Copenhagen"
"22.11.2025,16:00,Melbourne"
"23.11.2025,16:00,Dubrovnik"
"24.11.2025,16:00,Manila"
"25.11.2025,16:00,Belgrade"
"26.11.2025,16:00,Sarajevo"
"27.11.2025,16:00,Singapore"
"28.11.2025,16:00,Milan"
"29.11.2025,16:00,Shanghai"
"30.11.2025,16:00,Rome"
"01.12.2025,16:00,Budapest"
"02.12.2025,16:00,Buenos Aires"
"03.12.2025,16:00,Izmir"
"04.12.2025,16:00,Antalya"
"05.12.2025,16:00,Istanbul"
"06.12.2025,16:00,Porto"
"07.12.2025,16:00,Toronto"
"08.12.2025,16:00,Sofia"
"09.12.2025,16:00,Bucharest"
"10.12.2025,16:00,London"
"11.12.2025,16:00,Glasgow"
"12.12.2025,16:00,Nashville"
"13.12.2025,16:00,Berlin"
"14.12.2025,16:00,Barcelona"
"15.12.2025,16:00,Paris"
"16.12.2025,16:00,São Paulo"
"17.12.2025,16:00,Madrid"
"18.12.2025,16:00,Johannesburg"
"19.12.2025,16:00,Amsterdam"
"20.12.2025,16:00,Stockholm"
"21.12.2025,16:00,Brussels"
"22.12.2025,16:00,New York"
"23.12.2025,16:00,Montreal"
"24.12.2025,16:00,Seattle"
"25.12.2025,16:00,Rio de Janeiro"
"26.12.2025,20:00,São Paulo"
"27.12.2025,12:00,São Paulo"
"27.12.2025,20:00,Buenos Aires"
"28.12.2025,12:00,Buenos Aires"
"28.12.2025,20:00,Nashville"
"29.12.2025,12:00,Nashville"
"29.12.2025,20:00,New York"
"30.12.2025,12:00,New York"
"30.12.2025,20:00,Montreal"
"31.12.2025,12:00,Montreal"
"31.12.2025,20:00,Toronto"
"01.01.2026,12:00,Toronto"
"01.01.2026,20:00,Chicago"
"02.01.2026,12:00,Chicago"
"02.01.2026,20:00,Seattle"
"03.01.2026,12:00,Seattle"
"03.01.2026,20:00,Los Angeles"
"04.01.2026,12:00,Los Angeles"
"04.01.2026,20:00,Mexico City"
"05.01.2026,12:00,Mexico City"
"06.01.2026,20:00,Shanghai"
"07.01.2026,12:00,Shanghai"
"07.01.2026,20:00,Tokyo"
"09.01.2026,12:00,Tokyo"
"09.01.2026,20:00,Manila"
"10.01.2026,12:00,Manila"
"10.01.2026,20:00,Jakarta"
"11.01.2026,12:00,Jakarta"
"11.01.2026,20:00,Melbourne"
"12.01.2026,12:00,Melbourne"
"12.01.2026,20:00,Singapore"
"13.01.2026,12:00,Singapore"
"13.01.2026,20:00,Ankara"
"14.01.2026,12:00,Ankara"
"14.01.2026,20:00,Baku"
"15.01.2026,12:00,Baku"
"15.01.2026,20:00,Kyiv"
"16.01.2026,12:00,Kyiv"
"16.01.2026,20:00,Moscow"
"17.01.2026,12:00,Moscow"
"17.01.2026,20:00,Vilnius"
"18.01.2026,12:00,Vilnius"
"18.01.2026,20:00,Stockholm"
"19.01.2026,12:00,Stockholm"
"19.01.2026,20:00,Helsinki"
"20.01.2026,12:00,Helsinki"
"20.01.2026,20:00,Tallinn"
"21.01.2026,12:00,Tallinn"
"21.01.2026,20:00,Tromsø"
"22.01.2026,12:00,Tromsø"
"22.01.2026,20:00,Copenhagen"
"23.01.2026,12:00,Copenhagen"
"23.01.2026,20:00,Warsaw"
"24.01.2026,12:00,Warsaw"
"24.01.2026,20:00,Dubrovnik"
"25.01.2026,12:00,Dubrovnik"
"25.01.2026,20:00,Belgrade"
"26.01.2026,12:00,Belgrade"
"26.01.2026,20:00,Sarajevo"
"27.01.2026,12:00,Sarajevo"
"27.01.2026,20:00,Milan"
"28.01.2026,12:00,Milan"
"28.01.2026,20:00,Rome"
"29.01.2026,12:00,Rome"
"29.01.2026,20:00,Izmir"
"30.01.2026,12:00,Izmir"
"30.01.2026,20:00,Antalya"
"31.01.2026,12:00,Antalya"
"31.01.2026,20:00,Istanbul"
"01.02.2026,12:00,Istanbul"
"01.02.2026,20:00,Sofia"
"02.02.2026,12:00,Sofia"
"02.02.2026,20:00,Bucharest"
"03.02.2026,12:00,Bucharest"
"03.02.2026,20:00,Budapest"
"04.02.2026,12:00,Budapest"
"04.02.2026,20:00,Berlin"
"05.02.2026,12:00,Berlin"
"05.02.2026,20:00,Amsterdam"
"06.02.2026,12:00,Amsterdam"
"06.02.2026,20:00,Brussels"
"07.02.2026,12:00,Brussels"
"07.02.2026,20:00,London"
"08.02.2026,12:00,London"
"08.02.2026,20:00,Glasgow"
"09.02.2026,12:00,Glasgow"
"09.02.2026,20:00,Barcelona"
"10.02.2026,12:00,Barcelona"
"10.02.2026,20:00,Paris"
"11.02.2026,12:00,Paris"
"11.02.2026,20:00,Porto"
"12.02.2026,12:00,Porto"
"12.02.2026,20:00,Madrid"
"13.02.2026,12:00,Madrid"